cost_tier,name,model_id,context_length,prompt_cost_per_1M,completion_cost_per_1M,provider,description
Low Cost,Anthropic: Claude 3.5 Haiku,anthropic/claude-3.5-haiku,200000,$0.8000,$4.0000,OpenRouter,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy"
Low Cost,Anthropic: Claude 3.5 Haiku (2024-10-22),anthropic/claude-3.5-haiku-20241022,200000,$0.8000,$4.0000,OpenRouter,"Claude 3.5 Haiku features enhancements across all skill sets including coding, t"
Low Cost,Anthropic: Claude Haiku 4.5,anthropic/claude-haiku-4.5,200000,$1.0000,$5.0000,OpenRouter,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering nea"
Low Cost,Deep Cogito: Cogito V2 Preview Deepseek 671B,deepcogito/cogito-v2-preview-deepseek-671b,163840,$1.2500,$1.2500,OpenRouter,"Cogito v2 is a multilingual, instruction-tuned Mixture of Experts (MoE) large la"
Low Cost,Deep Cogito: Cogito V2 Preview Llama 70B,deepcogito/cogito-v2-preview-llama-70b,32768,$0.8800,$0.8800,OpenRouter,Cogito v2 70B is a dense hybrid reasoning model that combines direct answering c
Low Cost,DeepSeek: DeepSeek Prover V2,deepseek/deepseek-prover-v2,163840,$0.5000,$2.1800,OpenRouter,"DeepSeek Prover V2 is a 671B parameter model, speculated to be geared towards lo"
Low Cost,Google: Gemini 2.5 Pro,google/gemini-2.5-pro,1048576,$1.2500,$10.0000,OpenRouter,Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reaso
Low Cost,Google: Gemini 2.5 Pro Preview 05-06,google/gemini-2.5-pro-preview-05-06,1048576,$1.2500,$10.0000,OpenRouter,Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reaso
Low Cost,Google: Gemini 2.5 Pro Preview 06-05,google/gemini-2.5-pro-preview,1048576,$1.2500,$10.0000,OpenRouter,Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reaso
Low Cost,Microsoft: Phi-3 Medium 128K Instruct,microsoft/phi-3-medium-128k-instruct,128000,$1.0000,$1.0000,OpenRouter,Phi-3 128K Medium is a powerful 14-billion parameter model designed for advanced
Low Cost,Mistral: Magistral Small 2506,mistralai/magistral-small-2506,40000,$0.5000,$1.5000,OpenRouter,Magistral Small is a 24B parameter instruction-tuned model based on Mistral-Smal
Low Cost,Mistral: Mistral Large 3 2512,mistralai/mistral-large-2512,262144,$0.5000,$1.5000,OpenRouter,"Mistral Large 3 2512 is Mistral’s most capable model to date, featuring a sparse"
Low Cost,Mistral: Mixtral 8x7B Instruct,mistralai/mixtral-8x7b-instruct,32768,$0.5400,$0.5400,OpenRouter,"Mixtral 8x7B Instruct is a pretrained generative Sparse Mixture of Experts, by M"
Low Cost,NVIDIA: Llama 3.1 Nemotron 70B Instruct,nvidia/llama-3.1-nemotron-70b-instruct,131072,$1.2000,$1.2000,OpenRouter,NVIDIA's Llama 3.1 Nemotron 70B is a language model designed for generating prec
Low Cost,NVIDIA: Llama 3.1 Nemotron Ultra 253B v1,nvidia/llama-3.1-nemotron-ultra-253b-v1,131072,$0.6000,$1.8000,OpenRouter,Llama-3.1-Nemotron-Ultra-253B-v1 is a large language model (LLM) optimized for a
Low Cost,Nous: Hermes 3 405B Instruct,nousresearch/hermes-3-llama-3.1-405b,131072,$1.0000,$1.0000,OpenRouter,"Hermes 3 is a generalist language model with many improvements over Hermes 2, in"
Low Cost,OpenAI: GPT-3.5 Turbo,openai/gpt-3.5-turbo,16385,$0.5000,$1.5000,OpenRouter,GPT-3.5 Turbo is OpenAI's fastest model. It can understand and generate natural 
Low Cost,OpenAI: GPT-3.5 Turbo (older v0613),openai/gpt-3.5-turbo-0613,4095,$1.0000,$2.0000,OpenRouter,GPT-3.5 Turbo is OpenAI's fastest model. It can understand and generate natural 
Low Cost,OpenAI: GPT-3.5 Turbo Instruct,openai/gpt-3.5-turbo-instruct,4095,$1.5000,$2.0000,OpenRouter,This model is a variant of GPT-3.5 Turbo tuned for instructional prompts and omi
Low Cost,Qwen: Qwen VL Max,qwen/qwen-vl-max,131072,$0.8000,$3.2000,OpenRouter,Qwen VL Max is a visual understanding model with 7500 tokens context length. It 
Low Cost,Qwen: Qwen-Max ,qwen/qwen-max,32768,$1.6000,$6.4000,OpenRouter,"Qwen-Max, based on Qwen2.5, provides the best inference performance among [Qwen "
Low Cost,Qwen: Qwen3 Coder Plus,qwen/qwen3-coder-plus,128000,$1.0000,$5.0000,OpenRouter,Qwen3 Coder Plus is Alibaba's proprietary version of the Open Source Qwen3 Coder
Low Cost,Qwen: Qwen3 Max,qwen/qwen3-max,256000,$1.2000,$6.0000,OpenRouter,"Qwen3-Max is an updated release built on the Qwen3 series, offering major improv"
Low Cost,Sao10K: Llama 3.1 Euryale 70B v2.2,sao10k/l3.1-euryale-70b,32768,$0.6500,$0.7500,OpenRouter,Euryale L3.1 70B v2.2 is a model focused on creative roleplay from [Sao10k](http
Low Cost,Sao10K: Llama 3.3 Euryale 70B,sao10k/l3.3-euryale-70b,131072,$0.6500,$0.7500,OpenRouter,Euryale L3.3 70B is a model focused on creative roleplay from [Sao10k](https://k
Low Cost,Sao10k: Llama 3 Euryale 70B v2.1,sao10k/l3-euryale-70b,8192,$1.4800,$1.4800,OpenRouter,Euryale 70B v2.1 is a model focused on creative roleplay from [Sao10k](https://k
Medium Cost,Amazon: Nova Premier 1.0,amazon/nova-premier-v1,1000000,$2.5000,$12.5000,OpenRouter,Amazon Nova Premier is the most capable of Amazon’s multimodal models for comple
Medium Cost,Anthropic: Claude 3.5 Sonnet,anthropic/claude-3.5-sonnet,200000,$6.0000,$30.0000,OpenRouter,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet"
Medium Cost,Anthropic: Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet,200000,$3.0000,$15.0000,OpenRouter,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, c"
Medium Cost,Anthropic: Claude 3.7 Sonnet (thinking),anthropic/claude-3.7-sonnet:thinking,200000,$3.0000,$15.0000,OpenRouter,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, c"
Medium Cost,Anthropic: Claude Opus 4.5,anthropic/claude-opus-4.5,200000,$5.0000,$25.0000,OpenRouter,Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex so
Medium Cost,Anthropic: Claude Sonnet 4,anthropic/claude-sonnet-4,1000000,$3.0000,$15.0000,OpenRouter,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonn"
Medium Cost,Anthropic: Claude Sonnet 4.5,anthropic/claude-sonnet-4.5,1000000,$3.0000,$15.0000,OpenRouter,"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized f"
Medium Cost,Cohere: Command A,cohere/command-a,256000,$2.5000,$10.0000,OpenRouter,Command A is an open-weights 111B parameter model with a 256k context window foc
Medium Cost,Cohere: Command R+ (08-2024),cohere/command-r-plus-08-2024,128000,$2.5000,$10.0000,OpenRouter,command-r-plus-08-2024 is an update of the [Command R+](/models/cohere/command-r
Medium Cost,Deep Cogito: Cogito V2 Preview Llama 405B,deepcogito/cogito-v2-preview-llama-405b,32768,$3.5000,$3.5000,OpenRouter,Cogito v2 405B is a dense hybrid reasoning model that combines direct answering 
Medium Cost,Google: Gemini 3 Pro Preview,google/gemini-3-pro-preview,1048576,$2.0000,$12.0000,OpenRouter,Gemini 3 Pro is Google’s flagship frontier model for high-precision multimodal r
Medium Cost,Google: Nano Banana Pro (Gemini 3 Pro Image Preview),google/gemini-3-pro-image-preview,65536,$2.0000,$12.0000,OpenRouter,"Nano Banana Pro is Google’s most advanced image-generation and editing model, bu"
Medium Cost,Meta: Llama 3.1 405B (base),meta-llama/llama-3.1-405b,32768,$4.0000,$4.0000,OpenRouter,Meta's latest class of model (Llama 3.1) launched with a variety of sizes & flav
Medium Cost,Meta: Llama 3.1 405B Instruct,meta-llama/llama-3.1-405b-instruct,130815,$3.5000,$3.5000,OpenRouter,The highly anticipated 400B class of Llama3 is here! Clocking in at 128k context
Medium Cost,Mistral Large,mistralai/mistral-large,128000,$2.0000,$6.0000,OpenRouter,"This is Mistral AI's flagship model, Mistral Large 2 (version `mistral-large-240"
Medium Cost,Mistral Large 2407,mistralai/mistral-large-2407,131072,$2.0000,$6.0000,OpenRouter,"This is Mistral AI's flagship model, Mistral Large 2 (version mistral-large-2407"
Medium Cost,Mistral Large 2411,mistralai/mistral-large-2411,131072,$2.0000,$6.0000,OpenRouter,Mistral Large 2 2411 is an update of [Mistral Large 2](/mistralai/mistral-large)
Medium Cost,Mistral: Magistral Medium 2506,mistralai/magistral-medium-2506,40960,$2.0000,$5.0000,OpenRouter,Magistral is Mistral's first reasoning model. It is ideal for general purpose us
Medium Cost,Mistral: Magistral Medium 2506 (thinking),mistralai/magistral-medium-2506:thinking,40960,$2.0000,$5.0000,OpenRouter,Magistral is Mistral's first reasoning model. It is ideal for general purpose us
Medium Cost,Mistral: Mixtral 8x22B Instruct,mistralai/mixtral-8x22b-instruct,65536,$2.0000,$6.0000,OpenRouter,Mistral's official instruct fine-tuned version of [Mixtral 8x22B](/models/mistra
Medium Cost,Mistral: Pixtral Large 2411,mistralai/pixtral-large-2411,131072,$2.0000,$6.0000,OpenRouter,"Pixtral Large is a 124B parameter, open-weight, multimodal model built on top of"
Medium Cost,OpenAI: ChatGPT-4o,openai/chatgpt-4o-latest,128000,$5.0000,$15.0000,OpenRouter,OpenAI ChatGPT 4o is continually updated by OpenAI to point to the current versi
Medium Cost,OpenAI: GPT-3.5 Turbo 16k,openai/gpt-3.5-turbo-16k,16385,$3.0000,$4.0000,OpenRouter,"This model offers four times the context length of gpt-3.5-turbo, allowing it to"
Medium Cost,OpenAI: GPT-4.1,openai/gpt-4.1,1047576,$2.0000,$8.0000,OpenRouter,GPT-4.1 is a flagship large language model optimized for advanced instruction fo
Medium Cost,OpenAI: GPT-4o,openai/gpt-4o,128000,$2.5000,$10.0000,OpenRouter,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and im"
Medium Cost,OpenAI: GPT-4o (2024-05-13),openai/gpt-4o-2024-05-13,128000,$5.0000,$15.0000,OpenRouter,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and im"
Medium Cost,OpenAI: GPT-4o (2024-08-06),openai/gpt-4o-2024-08-06,128000,$2.5000,$10.0000,OpenRouter,The 2024-08-06 version of GPT-4o offers improved performance in structured outpu
Medium Cost,OpenAI: GPT-4o (2024-11-20),openai/gpt-4o-2024-11-20,128000,$2.5000,$10.0000,OpenRouter,The 2024-11-20 version of GPT-4o offers a leveled-up creative writing ability wi
Medium Cost,OpenAI: GPT-4o (extended),openai/gpt-4o:extended,128000,$6.0000,$18.0000,OpenRouter,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and im"
Medium Cost,OpenAI: GPT-4o Audio,openai/gpt-4o-audio-preview,128000,$2.5000,$10.0000,OpenRouter,The gpt-4o-audio-preview model adds support for audio inputs as prompts. This en
Medium Cost,OpenAI: GPT-4o Search Preview,openai/gpt-4o-search-preview,128000,$2.5000,$10.0000,OpenRouter,GPT-4o Search Previewis a specialized model for web search in Chat Completions. 
Medium Cost,Sao10K: Llama 3.1 70B Hanami x1,sao10k/l3.1-70b-hanami-x1,16000,$3.0000,$3.0000,OpenRouter,This is [Sao10K](/sao10k)'s experiment over [Euryale v2.2](/sao10k/l3.1-euryale-
Premium,Anthropic: Claude 3 Opus,anthropic/claude-3-opus,200000,$15.0000,$75.0000,OpenRouter,Claude 3 Opus is Anthropic's most powerful model for highly complex tasks. It bo
Premium,Anthropic: Claude Opus 4,anthropic/claude-opus-4,200000,$15.0000,$75.0000,OpenRouter,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of releas"
Premium,Anthropic: Claude Opus 4.1,anthropic/claude-opus-4.1,200000,$15.0000,$75.0000,OpenRouter,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering im"
Premium,OpenAI: GPT-4,openai/gpt-4,8191,$30.0000,$60.0000,OpenRouter,"OpenAI's flagship model, GPT-4 is a large-scale multimodal language model capabl"
Premium,OpenAI: GPT-4 (older v0314),openai/gpt-4-0314,8191,$30.0000,$60.0000,OpenRouter,"GPT-4-0314 is the first version of GPT-4 released, with a context length of 8,19"
Premium,OpenAI: GPT-4 Turbo,openai/gpt-4-turbo,128000,$10.0000,$30.0000,OpenRouter,The latest GPT-4 Turbo model with vision capabilities. Vision requests can now u
Premium,OpenAI: GPT-4 Turbo (older v1106),openai/gpt-4-1106-preview,128000,$10.0000,$30.0000,OpenRouter,The latest GPT-4 Turbo model with vision capabilities. Vision requests can now u
Premium,OpenAI: GPT-4 Turbo Preview,openai/gpt-4-turbo-preview,128000,$10.0000,$30.0000,OpenRouter,"The preview GPT-4 model with improved instruction following, JSON mode, reproduc"
